policy,producers,payload,n,median_ns,completed,checked_out,reserved,terminal,rejected_slots,rejected_bytes,checksum
default,1,0,20000,5481209, 20000,0,0,0,773,0,20000
default,1,64,20000,7590583, 20000,0,0,0,610,0,20000
default,1,4096,20000,10621375, 20000,0,0,0,512,0,20000
default,2,0,20000,4971958, 20000,0,0,0,7268,0,20000
default,2,64,20000,9494209, 20000,0,0,0,15544,0,20000
default,2,4096,20000,8074583, 20000,0,0,0,9087,0,20000
default,4,0,20000,6006917, 20000,0,0,0,16180,0,20000
default,4,64,20000,8818083, 20000,0,0,0,18337,0,20000
default,4,4096,20000,10136417, 20000,0,0,0,43843,0,20000
default,8,0,20000,5978834, 20000,0,0,0,7828,0,20000
default,8,64,20000,8758416, 20000,0,0,0,17275,0,20000
default,8,4096,20000,8734459, 20000,0,0,0,18282,0,20000
atomic,1,0,20000,6848917, 20000,0,0,0,1100,0,20000
atomic,1,64,20000,9331583, 20000,0,0,0,564,0,20000
atomic,1,4096,20000,8999583, 20000,0,0,0,1444,0,20000
atomic,2,0,20000,7118500, 20000,0,0,0,8503,0,20000
atomic,2,64,20000,10672042, 20000,0,0,0,15817,0,20000
atomic,2,4096,20000,10008625, 20000,0,0,0,9235,0,20000
atomic,4,0,20000,8918375, 20000,0,0,0,13746,0,20000
atomic,4,64,20000,12490042, 20000,0,0,0,40379,0,20000
atomic,4,4096,20000,11092833, 20000,0,0,0,46515,0,20000
atomic,8,0,20000,8763334, 20000,0,0,0,10255,0,20000
atomic,8,64,20000,12153750, 20000,0,0,0,14642,0,20000
atomic,8,4096,20000,11857166, 20000,0,0,0,10241,0,20000
