policy,producers,payload,n,median_ns,completed,checked_out,reserved,terminal,rejected_slots,rejected_bytes,checksum
default,1,0,20000,4855792, 20000,0,0,0,1908,0,20000
default,1,64,20000,10419458, 20000,0,0,0,422,0,20000
default,1,4096,20000,10350875, 20000,0,0,0,837,0,20000
default,2,0,20000,4388834, 20000,0,0,0,12330,0,20000
default,2,64,20000,5293917, 20000,0,0,0,5001,0,20000
default,2,4096,20000,9469209, 20000,0,0,0,9482,0,20000
default,4,0,20000,4833333, 20000,0,0,0,36088,0,20000
default,4,64,20000,7849125, 20000,0,0,0,36522,0,20000
default,4,4096,20000,9209250, 20000,0,0,0,45307,0,20000
default,8,0,20000,4626791, 20000,0,0,0,2456,0,20000
default,8,64,20000,8321958, 20000,0,0,0,2102,0,20000
default,8,4096,20000,7852375, 20000,0,0,0,5268,0,20000
atomic,1,0,20000,5140333, 20000,0,0,0,1256,0,20000
atomic,1,64,20000,8879916, 20000,0,0,0,367,0,20000
atomic,1,4096,20000,10441166, 20000,0,0,0,270,0,20000
atomic,2,0,20000,6482583, 20000,0,0,0,5509,0,20000
atomic,2,64,20000,10407208, 20000,0,0,0,14890,0,20000
atomic,2,4096,20000,9795167, 20000,0,0,0,7822,0,20000
atomic,4,0,20000,5418208, 20000,0,0,0,7581,0,20000
atomic,4,64,20000,11178625, 20000,0,0,0,32601,0,20000
atomic,4,4096,20000,10842916, 20000,0,0,0,26671,0,20000
atomic,8,0,20000,6493250, 20000,0,0,0,118869,0,20000
atomic,8,64,20000,8814167, 20000,0,0,0,1760,0,20000
atomic,8,4096,20000,32777792, 20000,0,0,0,16032,0,20000
