collector	stable-size-align-offset-inventory
rustc	rustc 1.97.1 (8bab26f4f 2026-07-14)
format	nudox-layout-baseline-v1
target_arch	aarch64
target_os	macos
pointer_width	64
cache_line_assumption_bytes	64
columns	kind	family	type	size_bytes	align_bytes	cache_lines	contract
type	store	StoreOperation	0	1	0	closed probe operation
type	store	StoreAdmission	1	1	1	closed probe outcome
type	store	StoreProbeEvent	1	1	1	aggregate event
type	store	StoreError<ObjectDomain>	56	8	1	cold error, compiler discovery
type	store	RejectedInsert<ObjectDomain>	120	8	2	owns rejected payload box
type	operation	ObjectProvenance	1	1	1	compiler discovery
type	operation	PinnedObjectRequest<ObjectDomain>	80	8	2	operation request
type	operation	ObjectAbsence	0	1	0	closed absence state
type	operation	MissingObject<ObjectDomain>	48	8	1	terminal fact
type	operation	PinnedObjectOperation<ObjectDomain>	0	1	0	zero-sized operation brand
type	operation	LocalObjectError	1	1	1	cold error, compiler discovery
type	operation	ObjectBatch<'static, ObjectDomain>	48	8	1	borrowed batch
type	operation	LocalObjectProvider<ObjectDomain>	184	8	3	provider state
type	operation	LocalObjectRun<ObjectDomain>	88	8	2	cursor state
type	operation	SourcePoll<u64, u64>	16	8	1	generic source poll
type	operation	TerminalSummary<u64>	16	8	1	generic terminal fact
type	runtime	RetainedBytes	8	8	1	repr(transparent)
type	runtime	ByteQuantum	8	8	1	repr(transparent)
type	runtime	ByteBudget	24	8	1	compiler discovery
type	runtime	ByteBudgetError	1	1	1	cold error, compiler discovery
type	runtime	WorkHandle	24	8	1	public generational handle
type	runtime	CancelResult	1	1	1	compiler discovery
type	runtime	SlotClaimError	8	8	1	cold error, compiler discovery
type	runtime	DequeueError	40	8	1	cold error, compiler discovery
type	runtime	WaiterRegistrationError	24	8	1	cold error, compiler discovery
type	runtime	RuntimeMetrics	120	8	2	aggregate atomic snapshot
type	runtime	Runtime<u64, u64>	768	128	12	bounded runtime owner
type	runtime	Admission<'static, u64, u64>	8	8	1	borrowed producer handle
type	runtime	AdmissionFuture<'static, u64, u64>	88	8	2	async admission state
type	runtime	Owner<'static, u64, u64>	16	8	1	borrowed owner handle
type	runtime	RejectedWork<u64>	16	8	1	returns rejected work
type	runtime	RejectionReason	1	1	1	closed rejection
type	runtime	AdmissionError<u64>	32	8	1	cold error, compiler discovery
type	runtime	TerminalKind	1	1	1	closed terminal tag
type	runtime	TerminalEvent<u64>	40	8	1	terminal queue record projection
type	runtime	OwnerFault	40	8	1	cold error, compiler discovery
type	runtime	RuntimeConfigError	24	8	1	cold error, compiler discovery
type	workflow	WorkflowVersion	2	2	1	repr(transparent)
type	workflow	StageId	1	1	1	closed tag
type	workflow	FailureCode	1	1	1	closed tag
type	workflow	EventName	1	1	1	closed diagnostic tag
type	workflow	StageKey	32	1	1	32-byte canonical identity
type	workflow	StageInput<ObjectDomain>	64	1	1	key derivation input
type	workflow	EventKind	33	1	1	durable event payload
type	workflow	WorkflowEvent	68	2	2	durable log row
type	workflow	PriorFacts	33	1	1	reducer state fact
type	workflow	Phase	34	1	1	reducer state
type	workflow	PhaseName	1	1	1	closed phase tag
type	workflow	WorkflowState	66	1	2	reducer state
type	workflow	Effect	65	1	2	pending effect
type	workflow	Reduction	131	1	3	reduction result
type	workflow	ReductionError	66	2	2	cold error, compiler discovery
type	workflow	WorkflowLog	104	8	2	bounded event vector
type	workflow	LogConfigError	16	8	1	cold error, compiler discovery
type	workflow	CommitError	70	2	2	cold error, compiler discovery
type	workflow	Recovery	131	1	3	recovery result
type	observe	NoopProbe	0	1	0	zero-sized static policy
type	observe	FlightRecorder<WorkflowEvent, DropNewest, 0>	16	8	1	zero-capacity recorder policy
type	observe	FlightRecorder<WorkflowEvent, DropNewest, 4>	288	8	5	inline four-event ring
type	observe	FlightRecorder<WorkflowEvent, OverwriteOldest, 4>	288	8	5	inline four-event ring
type	observe	FlightEvents<'static, WorkflowEvent, 4>	32	8	1	borrowing recorder iterator
offset	FrameHeader	magic	0
offset	FrameHeader	major	4
offset	FrameHeader	minor	5
offset	FrameHeader	header_bytes	6
offset	FrameHeader	total_bytes	8
offset	FrameHeader	section_count	12
offset	FrameHeader	reserved_a	14
offset	FrameHeader	schema	16
offset	FrameHeader	reserved_b	20
offset	SectionDescriptor	kind	0
offset	SectionDescriptor	flags	1
offset	SectionDescriptor	reserved	2
offset	SectionDescriptor	body_offset	4
offset	SectionDescriptor	body_length	8
offset	SectionDescriptor	rows	12
offset	ObjectRef<ObjectDomain>	content	0
offset	ObjectRef<ObjectDomain>	length	32
offset	ObjectRef<ObjectDomain>	schema	40
offset	ObjectRef<ObjectDomain>	kind	44
offset	RootEntry<ObjectDomain>	key	64
offset	RootEntry<ObjectDomain>	parent	0
offset	RootEntry<ObjectDomain>	object	16
offset	LocalityFact<ObjectDomain>	key	0
offset	LocalityFact<ObjectDomain>	locality	8
offset	GenerationEntry<ObjectDomain>	key	144
offset	GenerationEntry<ObjectDomain>	parent	0
offset	GenerationEntry<ObjectDomain>	object	16
offset	GenerationEntry<ObjectDomain>	locality	64
offset	Need	pinned_root	24
offset	Need	projection	0
offset	PlanCoverage	required	0
offset	PlanCoverage	present	8
offset	PlanCoverage	promised	16
